,medical_school,short_name,cost_type,ownership,residence_status,insurance_required,insurance_waived,cost,year
34,Brody School of Medicine at East Carolina University,East Carolina-Brody,Tuition,Public,Resident,Yes,Yes,6034.0,2005.0
35,Brody School of Medicine at East Carolina University,East Carolina-Brody,Tuition,Public,Nonresident,,,,2005.0
36,Brody School of Medicine at East Carolina University,East Carolina-Brody,Health Insurance,Public,Resident,Yes,Yes,1400.0,2005.0
37,Brody School of Medicine at East Carolina University,East Carolina-Brody,Health Insurance,Public,Nonresident,,,,2005.0
38,Brody School of Medicine at East Carolina University,East Carolina-Brody,Fees,Public,Resident,Yes,Yes,1634.0,2005.0
39,Brody School of Medicine at East Carolina University,East Carolina-Brody,Fees,Public,Nonresident,,,,2005.0
40,Case Western Reserve University School of Medicine,Case Western Reserve,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,39384.0,2005.0
41,Case Western Reserve University School of Medicine,Case Western Reserve,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,39384.0,2005.0
42,Case Western Reserve University School of Medicine,Case Western Reserve,Tuition,Private,Resident,Yes,Yes,37944.0,2005.0
43,Case Western Reserve University School of Medicine,Case Western Reserve,Tuition,Private,Nonresident,Yes,Yes,37944.0,2005.0
44,Case Western Reserve University School of Medicine,Case Western Reserve,Health Insurance,Private,Resident,Yes,Yes,910.0,2005.0
45,Case Western Reserve University School of Medicine,Case Western Reserve,Health Insurance,Private,Nonresident,Yes,Yes,910.0,2005.0
46,Case Western Reserve University School of Medicine,Case Western Reserve,Fees,Private,Resident,Yes,Yes,530.0,2005.0
47,Case Western Reserve University School of Medicine,Case Western Reserve,Fees,Private,Nonresident,Yes,Yes,530.0,2005.0
48,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,38844.0,2005.0
49,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,38844.0,2005.0
50,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Tuition,Private,Resident,Yes,Yes,36740.0,2005.0
51,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Tuition,Private,Nonresident,Yes,Yes,36740.0,2005.0
52,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Health Insurance,Private,Resident,Yes,Yes,2500.0,2005.0
53,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Health Insurance,Private,Nonresident,Yes,Yes,2500.0,2005.0
54,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Fees,Private,Resident,Yes,Yes,160.0,2005.0
55,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Fees,Private,Nonresident,Yes,Yes,160.0,2005.0
56,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,41873.0,2005.0
57,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,41873.0,2005.0
58,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Tuition,Private,Resident,Yes,Yes,38720.0,2005.0
59,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Tuition,Private,Nonresident,Yes,Yes,38720.0,2005.0
60,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Health Insurance,Private,Resident,Yes,Yes,1913.0,2005.0
61,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Health Insurance,Private,Nonresident,Yes,Yes,1913.0,2005.0
62,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Fees,Private,Resident,Yes,Yes,1240.0,2005.0
63,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Fees,Private,Nonresident,Yes,Yes,1240.0,2005.0
64,Creighton University School of Medicine,Creighton,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,40155.0,2005.0
65,Creighton University School of Medicine,Creighton,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,40155.0,2005.0
66,Creighton University School of Medicine,Creighton,Tuition,Private,Resident,Yes,Yes,37519.0,2005.0
67,Creighton University School of Medicine,Creighton,Tuition,Private,Nonresident,Yes,Yes,37519.0,2005.0
68,Creighton University School of Medicine,Creighton,Health Insurance,Private,Resident,Yes,Yes,1680.0,2005.0
69,Creighton University School of Medicine,Creighton,Health Insurance,Private,Nonresident,Yes,Yes,1680.0,2005.0
70,Creighton University School of Medicine,Creighton,Fees,Private,Resident,Yes,Yes,956.0,2005.0
71,Creighton University School of Medicine,Creighton,Fees,Private,Nonresident,Yes,Yes,956.0,2005.0
72,Drexel University College of Medicine,Drexel,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,40270.0,2005.0
73,Drexel University College of Medicine,Drexel,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,40270.0,2005.0
74,Drexel University College of Medicine,Drexel,Tuition,Private,Resident,Yes,Yes,36770.0,2005.0
75,Drexel University College of Medicine,Drexel,Tuition,Private,Nonresident,Yes,Yes,36770.0,2005.0
76,Drexel University College of Medicine,Drexel,Health Insurance,Private,Resident,Yes,Yes,2502.0,2005.0
77,Drexel University College of Medicine,Drexel,Health Insurance,Private,Nonresident,Yes,Yes,2502.0,2005.0
78,Drexel University College of Medicine,Drexel,Fees,Private,Resident,Yes,Yes,1120.0,2005.0
79,Drexel University College of Medicine,Drexel,Fees,Private,Nonresident,Yes,Yes,1120.0,2005.0
80,Duke University School of Medicine,Duke,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,38025.0,2005.0
81,Duke University School of Medicine,Duke,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,38025.0,2005.0
82,Duke University School of Medicine,Duke,Tuition,Private,Resident,Yes,Yes,34842.0,2005.0
83,Duke University School of Medicine,Duke,Tuition,Private,Nonresident,Yes,Yes,34842.0,2005.0
84,Duke University School of Medicine,Duke,Health Insurance,Private,Resident,Yes,Yes,1589.0,2005.0
85,Duke University School of Medicine,Duke,Health Insurance,Private,Nonresident,Yes,Yes,1589.0,2005.0
86,Duke University School of Medicine,Duke,Fees,Private,Resident,Yes,Yes,1594.0,2005.0
87,Duke University School of Medicine,Duke,Fees,Private,Nonresident,Yes,Yes,1594.0,2005.0
88,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,"Tuition, Fees, and Health Insurance",Public,Resident,Yes,Yes,19141.0,2005.0
89,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,"Tuition, Fees, and Health Insurance",Public,Nonresident,Yes,Yes,37273.0,2005.0
90,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Tuition,Public,Resident,Yes,Yes,17462.0,2005.0
91,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Tuition,Public,Nonresident,Yes,Yes,35594.0,2005.0
92,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Health Insurance,Public,Resident,Yes,Yes,832.0,2005.0
93,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Health Insurance,Public,Nonresident,Yes,Yes,832.0,2005.0
94,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Fees,Public,Resident,Yes,Yes,847.0,2005.0
95,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Fees,Public,Nonresident,Yes,Yes,847.0,2005.0
96,Eastern Virginia Medical School,Eastern Virginia,"Tuition, Fees, and Health Insurance",Public,Resident,Yes,Yes,24048.0,2005.0
97,Eastern Virginia Medical School,Eastern Virginia,"Tuition, Fees, and Health Insurance",Public,Nonresident,Yes,Yes,41460.0,2005.0
98,Eastern Virginia Medical School,Eastern Virginia,Tuition,Public,Resident,Yes,Yes,20521.0,2005.0
99,Eastern Virginia Medical School,Eastern Virginia,Tuition,Public,Nonresident,Yes,Yes,37933.0,2005.0
100,Eastern Virginia Medical School,Eastern Virginia,Health Insurance,Public,Resident,Yes,Yes,1961.0,2005.0
101,Eastern Virginia Medical School,Eastern Virginia,Health Insurance,Public,Nonresident,Yes,Yes,1961.0,2005.0
102,Eastern Virginia Medical School,Eastern Virginia,Fees,Public,Resident,Yes,Yes,1566.0,2005.0
103,Eastern Virginia Medical School,Eastern Virginia,Fees,Public,Nonresident,Yes,Yes,1566.0,2005.0
104,Emory University School of Medicine,Emory,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,38205.0,2005.0
105,Emory University School of Medicine,Emory,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,38205.0,2005.0
106,Emory University School of Medicine,Emory,Tuition,Private,Resident,Yes,Yes,36000.0,2005.0
107,Emory University School of Medicine,Emory,Tuition,Private,Nonresident,Yes,Yes,36000.0,2005.0
108,Emory University School of Medicine,Emory,Health Insurance,Private,Resident,Yes,Yes,1600.0,2005.0
109,Emory University School of Medicine,Emory,Health Insurance,Private,Nonresident,Yes,Yes,1600.0,2005.0
110,Emory University School of Medicine,Emory,Fees,Private,Resident,Yes,Yes,534.0,2005.0
111,Emory University School of Medicine,Emory,Fees,Private,Nonresident,Yes,Yes,534.0,2005.0
112,Florida State University College of Medicine,Florida State,"Tuition, Fees, and Health Insurance",Public,Resident,Yes,,17787.0,2005.0
113,Florida State University College of Medicine,Florida State,"Tuition, Fees, and Health Insurance",Public,Nonresident,,,,2005.0
114,Florida State University College of Medicine,Florida State,Tuition,Public,Resident,Yes,,15832.0,2005.0
115,Florida State University College of Medicine,Florida State,Tuition,Public,Nonresident,,,,2005.0
116,Florida State University College of Medicine,Florida State,Health Insurance,Public,Resident,Yes,,0.0,2005.0
117,Florida State University College of Medicine,Florida State,Health Insurance,Public,Nonresident,,,,2005.0
118,Florida State University College of Medicine,Florida State,Fees,Public,Resident,Yes,,1955.0,2005.0
119,Florida State University College of Medicine,Florida State,Fees,Public,Nonresident,,,,2005.0
120,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,"Tuition, Fees, and Health Insurance",Private,Resident,No,,36850.0,2005.0
121,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,"Tuition, Fees, and Health Insurance",Private,Nonresident,No,,36850.0,2005.0
122,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Tuition,Private,Resident,No,,34500.0,2005.0
123,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Tuition,Private,Nonresident,No,,34500.0,2005.0
124,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Health Insurance,Private,Resident,No,,1600.0,2005.0
125,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Health Insurance,Private,Nonresident,No,,1600.0,2005.0
126,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Fees,Private,Resident,No,,750.0,2005.0
127,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Fees,Private,Nonresident,No,,750.0,2005.0
128,George Washington University School of Medicine and Health Sciences,George Washington,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,43558.0,2005.0
129,George Washington University School of Medicine and Health Sciences,George Washington,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,43558.0,2005.0
130,George Washington University School of Medicine and Health Sciences,George Washington,Tuition,Private,Resident,Yes,Yes,41193.0,2005.0
131,George Washington University School of Medicine and Health Sciences,George Washington,Tuition,Private,Nonresident,Yes,Yes,41193.0,2005.0
132,George Washington University School of Medicine and Health Sciences,George Washington,Health Insurance,Private,Resident,Yes,Yes,2005.0,2005.0
133,George Washington University School of Medicine and Health Sciences,George Washington,Health Insurance,Private,Nonresident,Yes,Yes,2005.0,2005.0
134,George Washington University School of Medicine and Health Sciences,George Washington,Fees,Private,Resident,Yes,Yes,360.0,2005.0
135,George Washington University School of Medicine and Health Sciences,George Washington,Fees,Private,Nonresident,Yes,Yes,360.0,2005.0
136,Georgetown University School of Medicine,Georgetown,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,41663.0,2005.0
137,Georgetown University School of Medicine,Georgetown,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,41663.0,2005.0
138,Georgetown University School of Medicine,Georgetown,Tuition,Private,Resident,Yes,Yes,37121.0,2005.0
139,Georgetown University School of Medicine,Georgetown,Tuition,Private,Nonresident,Yes,Yes,37121.0,2005.0
140,Georgetown University School of Medicine,Georgetown,Health Insurance,Private,Resident,Yes,Yes,1921.0,2005.0
141,Georgetown University School of Medicine,Georgetown,Health Insurance,Private,Nonresident,Yes,Yes,1921.0,2005.0
142,Georgetown University School of Medicine,Georgetown,Fees,Private,Resident,Yes,Yes,2621.0,2005.0
143,Georgetown University School of Medicine,Georgetown,Fees,Private,Nonresident,Yes,Yes,2621.0,2005.0
144,Harvard Medical School,Harvard,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,38776.0,2005.0
145,Harvard Medical School,Harvard,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,38776.0,2005.0
146,Harvard Medical School,Harvard,Tuition,Private,Resident,Yes,Yes,35800.0,2005.0
147,Harvard Medical School,Harvard,Tuition,Private,Nonresident,Yes,Yes,35800.0,2005.0
148,Harvard Medical School,Harvard,Health Insurance,Private,Resident,Yes,Yes,1158.0,2005.0
149,Harvard Medical School,Harvard,Health Insurance,Private,Nonresident,Yes,Yes,1158.0,2005.0
150,Harvard Medical School,Harvard,Fees,Private,Resident,Yes,Yes,1818.0,2005.0
151,Harvard Medical School,Harvard,Fees,Private,Nonresident,Yes,Yes,1818.0,2005.0
152,Howard University College of Medicine,Howard,"Tuition, Fees, and Health Insurance",Private,Resident,No,,26566.0,2005.0
153,Howard University College of Medicine,Howard,"Tuition, Fees, and Health Insurance",Private,Nonresident,No,,26566.0,2005.0
154,Howard University College of Medicine,Howard,Tuition,Private,Resident,No,,22695.0,2005.0
155,Howard University College of Medicine,Howard,Tuition,Private,Nonresident,No,,22695.0,2005.0
156,Howard University College of Medicine,Howard,Health Insurance,Private,Resident,No,,0.0,2005.0
157,Howard University College of Medicine,Howard,Health Insurance,Private,Nonresident,No,,0.0,2005.0
158,Howard University College of Medicine,Howard,Fees,Private,Resident,No,,3871.0,2005.0
159,Howard University College of Medicine,Howard,Fees,Private,Nonresident,No,,3871.0,2005.0
160,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,37140.0,2005.0
161,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,37140.0,2005.0
162,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Tuition,Private,Resident,Yes,Yes,33250.0,2005.0
163,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Tuition,Private,Nonresident,Yes,Yes,33250.0,2005.0
164,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Health Insurance,Private,Resident,Yes,Yes,2290.0,2005.0
165,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Health Insurance,Private,Nonresident,Yes,Yes,2290.0,2005.0
166,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Fees,Private,Resident,Yes,Yes,1600.0,2005.0
167,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Fees,Private,Nonresident,Yes,Yes,1600.0,2005.0
168,Indiana University School of Medicine,Indiana,"Tuition, Fees, and Health Insurance",Public,Resident,Yes,Yes,23556.0,2005.0
169,Indiana University School of Medicine,Indiana,"Tuition, Fees, and Health Insurance",Public,Nonresident,Yes,Yes,43241.0,2005.0
170,Indiana University School of Medicine,Indiana,Tuition,Public,Resident,Yes,Yes,20864.0,2005.0
171,Indiana University School of Medicine,Indiana,Tuition,Public,Nonresident,Yes,Yes,40549.0,2005.0
172,Indiana University School of Medicine,Indiana,Health Insurance,Public,Resident,Yes,Yes,2139.0,2005.0
173,Indiana University School of Medicine,Indiana,Health Insurance,Public,Nonresident,Yes,Yes,2139.0,2005.0
174,Indiana University School of Medicine,Indiana,Fees,Public,Resident,Yes,Yes,1114.0,2005.0
175,Indiana University School of Medicine,Indiana,Fees,Public,Nonresident,Yes,Yes,1114.0,2005.0
176,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,"Tuition, Fees, and Health Insurance",Public,Resident,Yes,Yes,20481.0,2005.0
177,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,"Tuition, Fees, and Health Insurance",Public,Nonresident,Yes,Yes,35181.0,2005.0
178,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Tuition,Public,Resident,Yes,Yes,18800.0,2005.0
179,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Tuition,Public,Nonresident,Yes,Yes,33500.0,2005.0
180,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Health Insurance,Public,Resident,Yes,Yes,,2005.0
181,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Health Insurance,Public,Nonresident,Yes,Yes,,2005.0
182,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Fees,Public,Resident,Yes,Yes,1424.0,2005.0
183,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Fees,Public,Nonresident,Yes,Yes,1424.0,2005.0
184,Johns Hopkins University School of Medicine,Johns Hopkins,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,No,36165.0,2005.0
185,Johns Hopkins University School of Medicine,Johns Hopkins,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,No,36165.0,2005.0
186,Johns Hopkins University School of Medicine,Johns Hopkins,Tuition,Private,Resident,Yes,No,32200.0,2005.0
187,Johns Hopkins University School of Medicine,Johns Hopkins,Tuition,Private,Nonresident,Yes,No,32200.0,2005.0
188,Johns Hopkins University School of Medicine,Johns Hopkins,Health Insurance,Private,Resident,Yes,No,2085.0,2005.0
189,Johns Hopkins University School of Medicine,Johns Hopkins,Health Insurance,Private,Nonresident,Yes,No,2085.0,2005.0
190,Johns Hopkins University School of Medicine,Johns Hopkins,Fees,Private,Resident,Yes,No,1880.0,2005.0
191,Johns Hopkins University School of Medicine,Johns Hopkins,Fees,Private,Nonresident,Yes,No,1880.0,2005.0
192,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,40463.0,2005.0
193,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,40463.0,2005.0
194,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Tuition,Private,Resident,Yes,Yes,39198.0,2005.0
195,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Tuition,Private,Nonresident,Yes,Yes,39198.0,2005.0
196,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Health Insurance,Private,Resident,Yes,Yes,686.0,2005.0
197,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Health Insurance,Private,Nonresident,Yes,Yes,686.0,2005.0
198,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Fees,Private,Resident,Yes,Yes,580.0,2005.0
199,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Fees,Private,Nonresident,Yes,Yes,580.0,2005.0
200,Lewis Katz School of Medicine at Temple University,Temple-Katz,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,36171.0,2005.0
201,Lewis Katz School of Medicine at Temple University,Temple-Katz,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,43751.0,2005.0
202,Lewis Katz School of Medicine at Temple University,Temple-Katz,Tuition,Private,Resident,Yes,Yes,33730.0,2005.0
203,Lewis Katz School of Medicine at Temple University,Temple-Katz,Tuition,Private,Nonresident,Yes,Yes,41310.0,2005.0
204,Lewis Katz School of Medicine at Temple University,Temple-Katz,Health Insurance,Private,Resident,Yes,Yes,1866.0,2005.0
205,Lewis Katz School of Medicine at Temple University,Temple-Katz,Health Insurance,Private,Nonresident,Yes,Yes,1866.0,2005.0
206,Lewis Katz School of Medicine at Temple University,Temple-Katz,Fees,Private,Resident,Yes,Yes,575.0,2005.0
207,Lewis Katz School of Medicine at Temple University,Temple-Katz,Fees,Private,Nonresident,Yes,Yes,575.0,2005.0
208,Loma Linda University School of Medicine,Loma Linda,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,No,33500.0,2005.0
209,Loma Linda University School of Medicine,Loma Linda,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,No,33500.0,2005.0
210,Loma Linda University School of Medicine,Loma Linda,Tuition,Private,Resident,Yes,No,31692.0,2005.0
211,Loma Linda University School of Medicine,Loma Linda,Tuition,Private,Nonresident,Yes,No,31692.0,2005.0
212,Loma Linda University School of Medicine,Loma Linda,Health Insurance,Private,Resident,Yes,No,,2005.0
213,Loma Linda University School of Medicine,Loma Linda,Health Insurance,Private,Nonresident,Yes,No,,2005.0
214,Loma Linda University School of Medicine,Loma Linda,Fees,Private,Resident,Yes,No,608.0,2005.0
215,Loma Linda University School of Medicine,Loma Linda,Fees,Private,Nonresident,Yes,No,608.0,2005.0
216,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,"Tuition, Fees, and Health Insurance",Public,Resident,No,,14121.0,2005.0
217,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,"Tuition, Fees, and Health Insurance",Public,Nonresident,No,,28269.0,2005.0
218,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Tuition,Public,Resident,No,,9776.0,2005.0
219,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Tuition,Public,Nonresident,No,,23924.0,2005.0
220,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Health Insurance,Public,Resident,No,,1490.0,2005.0
221,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Health Insurance,Public,Nonresident,No,,1490.0,2005.0
222,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Fees,Public,Resident,No,,3163.0,2005.0
223,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Fees,Public,Nonresident,No,,3163.0,2005.0
224,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,"Tuition, Fees, and Health Insurance",Private,Resident,Yes,Yes,36771.0,2005.0
225,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,"Tuition, Fees, and Health Insurance",Private,Nonresident,Yes,Yes,36771.0,2005.0
226,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Tuition,Private,Resident,Yes,Yes,34500.0,2005.0
227,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Tuition,Private,Nonresident,Yes,Yes,34500.0,2005.0
228,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Health Insurance,Private,Resident,Yes,Yes,1264.0,2005.0
229,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Health Insurance,Private,Nonresident,Yes,Yes,1264.0,2005.0
230,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Fees,Private,Resident,Yes,Yes,984.0,2005.0
231,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Fees,Private,Nonresident,Yes,Yes,984.0,2005.0
232,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,"Tuition, Fees, and Health Insurance",Public,Resident,Yes,Yes,17380.0,2005.0
233,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,"Tuition, Fees, and Health Insurance",Public,Nonresident,Yes,Yes,40770.0,2005.0
234,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,Tuition,Public,Resident,Yes,Yes,14610.0,2005.0
235,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,Tuition,Public,Nonresident,Yes,Yes,38000.0,2005.0
